"TIME","GEO","SEX","UNIT","AGE","Value","Flag and Footnotes"
"2018","EU28","Insgesamt","Anzahl","Insgesamt","512.379.225",""
"2018","EU28","Männer","Anzahl","Insgesamt","250.546.983",""
"2018","EU28","Frauen","Anzahl","Insgesamt","261.832.242",""
"2018","EU27","Insgesamt","Anzahl","Insgesamt","508.273.732",""
"2018","EU27","Männer","Anzahl","Insgesamt","248.565.184",""
"2018","EU27","Frauen","Anzahl","Insgesamt","259.708.548",""
"2018","BE","Insgesamt","Anzahl","Insgesamt","11.398.589",""
"2018","BE","Männer","Anzahl","Insgesamt","5.614.218",""
"2018","BE","Frauen","Anzahl","Insgesamt","5.784.371",""
"2018","BE1","Insgesamt","Anzahl","Insgesamt","1.205.492",""
"2018","BE1","Männer","Anzahl","Insgesamt","591.315",""
"2018","BE1","Frauen","Anzahl","Insgesamt","614.177",""
"2018","BE10","Insgesamt","Anzahl","Insgesamt","1.205.492",""
"2018","BE10","Männer","Anzahl","Insgesamt","591.315",""
"2018","BE10","Frauen","Anzahl","Insgesamt","614.177",""
"2018","BE100","Insgesamt","Anzahl","Insgesamt","1.205.492",""
"2018","BE100","Männer","Anzahl","Insgesamt","591.315",""
"2018","BE100","Frauen","Anzahl","Insgesamt","614.177",""
"2018","BE2","Insgesamt","Anzahl","Insgesamt","6.559.294",""
"2018","BE2","Männer","Anzahl","Insgesamt","3.245.976",""
"2018","BE2","Frauen","Anzahl","Insgesamt","3.313.318",""
"2018","BE21","Insgesamt","Anzahl","Insgesamt","1.849.523",""
"2018","BE21","Männer","Anzahl","Insgesamt","917.674",""
"2018","BE21","Frauen","Anzahl","Insgesamt","931.849",""
"2018","BE211","Insgesamt","Anzahl","Insgesamt","1.047.030",""
"2018","BE211","Männer","Anzahl","Insgesamt","518.754",""
"2018","BE211","Frauen","Anzahl","Insgesamt","528.276",""
"2018","BE212","Insgesamt","Anzahl","Insgesamt","343.101",""
"2018","BE212","Männer","Anzahl","Insgesamt","168.686",""
"2018","BE212","Frauen","Anzahl","Insgesamt","174.415",""
"2018","BE213","Insgesamt","Anzahl","Insgesamt","459.392",""
"2018","BE213","Männer","Anzahl","Insgesamt","230.234",""
"2018","BE213","Frauen","Anzahl","Insgesamt","229.158",""
"2018","BE22","Insgesamt","Anzahl","Insgesamt","872.739",""
"2018","BE22","Männer","Anzahl","Insgesamt","435.211",""
"2018","BE22","Frauen","Anzahl","Insgesamt","437.528",""
"2018","BE221","Insgesamt","Anzahl","Insgesamt","427.695",""
"2018","BE221","Männer","Anzahl","Insgesamt","211.946",""
"2018","BE221","Frauen","Anzahl","Insgesamt","215.749",""
"2018","BE222","Insgesamt","Anzahl","Insgesamt","241.350",""
"2018","BE222","Männer","Anzahl","Insgesamt","121.497",""
"2018","BE222","Frauen","Anzahl","Insgesamt","119.853",""
"2018","BE223","Insgesamt","Anzahl","Insgesamt","203.694",""
"2018","BE223","Männer","Anzahl","Insgesamt","101.768",""
"2018","BE223","Frauen","Anzahl","Insgesamt","101.926",""
"2018","BE23","Insgesamt","Anzahl","Insgesamt","1.506.232",""
"2018","BE23","Männer","Anzahl","Insgesamt","743.810",""
"2018","BE23","Frauen","Anzahl","Insgesamt","762.422",""
