Datum;Zeit;Wert in MW
01.01.2015;00:00;1664
01.01.2015;00:15;2224
01.01.2015;00:30;2064
01.01.2015;00:45;2224
01.01.2015;01:00;2144
01.01.2015;01:15;2080
01.01.2015;01:30;2176
01.01.2015;01:45;2128
01.01.2015;02:00;2096
01.01.2015;02:15;2176
01.01.2015;02:30;2000
01.01.2015;02:45;2160
01.01.2015;03:00;2192
01.01.2015;03:15;2064
01.01.2015;03:30;2224
01.01.2015;03:45;2048
01.01.2015;04:00;2224
01.01.2015;04:15;2048
01.01.2015;04:30;2240
01.01.2015;04:45;2096
01.01.2015;05:00;2176
01.01.2015;05:15;2192
01.01.2015;05:30;2144
01.01.2015;05:45;2112
01.01.2015;06:00;2160
01.01.2015;06:15;2256
01.01.2015;06:30;2144
01.01.2015;06:45;2288
01.01.2015;07:00;2384
01.01.2015;07:15;2688
01.01.2015;07:30;2816
01.01.2015;07:45;2976
01.01.2015;08:00;2848
01.01.2015;08:15;2816
01.01.2015;08:30;2784
01.01.2015;08:45;2784
01.01.2015;09:00;2720
01.01.2015;09:15;2720
01.01.2015;09:30;2672
01.01.2015;09:45;2624
01.01.2015;10:00;2736
01.01.2015;10:15;2784
01.01.2015;10:30;2640
01.01.2015;10:45;2752
01.01.2015;11:00;2768
01.01.2015;11:15;2544
01.01.2015;11:30;2752
01.01.2015;11:45;2752
01.01.2015;12:00;2816
01.01.2015;12:15;2608
01.01.2015;12:30;2752
01.01.2015;12:45;2720
01.01.2015;13:00;2736
01.01.2015;13:15;2688
01.01.2015;13:30;2624
01.01.2015;13:45;2816
01.01.2015;14:00;2720
01.01.2015;14:15;2704
01.01.2015;14:30;2720
01.01.2015;14:45;2704
01.01.2015;15:00;2768
01.01.2015;15:15;2736
01.01.2015;15:30;2720
01.01.2015;15:45;2736
01.01.2015;16:00;2736
01.01.2015;16:15;2576
01.01.2015;16:30;2720
01.01.2015;16:45;2768
01.01.2015;17:00;2576
01.01.2015;17:15;2800
01.01.2015;17:30;2640
01.01.2015;17:45;2720
01.01.2015;18:00;2640
